Class,Topic,Quiz,Assignment,TCLab
1,HomePage,,InstallPython,
2,SolveDifferentialEquations,QuizSolveODEs,SimulateHIV,TCLabSim
2,,,SimulateCOVID19,
3,DynamicModeling,QuizBalanceEquations,DeriveBalanceEquations,TCLabConvection
4,PhysicsBasedModels,QuizTransientBalanceEquations,TankBlending,TCLabRadiative
5,ModelLinearization,QuizLinearization,LinearizeDiffEqns,TCLabLinearize
6,FirstOrderSystems,QuizFirstOrderGraphical,FirstOrderFit,TCLabFOPDT
6,FirstOrderPlusDeadTime,,,
6,FirstOrderGraphical,,,
7,FirstOrderOptimization,QuizFirstOrderRegression,DynamicParameterRegression,TCLabRegression
10,FeedbackControl,QuizControlDesign,ControllerDesign,TCLabControlDesign
11,ProportionalControl,QuizProportionalControl,TankLevel,TCLabPOnlyControl
12,ProportionalIntegralControl,QuizProportionalIntegralControl,SpeedControl,TCLabPIControl
13,ProportionalIntegralDerivative,QuizProportionalIntegralDerivative,ControlBlending,TCLabPIDControl
14,,QuizLevelControl,LevelControl,TCLabPIControlTuning
15,,QuizReactorControl,StirredReactor,TCLabPIDControlTuning
16,,QuizDiabetesControl,DiabeticBloodGlucose,TCLabPIDFeedforward
17,FlowValves,QuizFlowValves,ValveDesign,TCLabActuator
18,SensorSignals,QuizSensors,SensorDesign,TCLabSensor
18,DataAcquisition,,,
21,ArduinoModeling,,,ArduinoModeling2
22,ArduinoEstimation,,,ArduinoEstimation2
23,ArduinoControl,,,ArduinoControl2
24,LaplaceTransforms,QuizLaplaceTransforms,LaplaceApplications,TCLabImpulseResponse
25,TransferFunctions,QuizTransferFunctions,TransferFunctionBlockDiagrams,TCLabBlockDiagram
26,StateSpaceModel,QuizStateSpace,ReactorStateSpace,TCLabStateSpace
27,SecondOrderSystems,QuizSecondOrderSystems,SecondOrderApplications,TCLabOnOffControl
27,SecondOrderGraphical,,,
28,SecondOrderOptimization,QuizSecondOrderOptimization,SecondOrderOptimizationFit,TCLabSecondOrder
29,ModelSimulation,QuizModelSimulation,DistillationControl,TCLabHigherOrder
30,StabilityAnalysis,QuizStabilityAnalysis,StabilityAnalysisExercises,TCLabStabilityAnalysis
31,CascadeControl,QuizFeedforwardCascade,FeedforwardCascadeControl,TCLabCascadeControl
31,FeedforwardControl,,,
35,OptimizationIntroduction,QuizOptimization,,
36,LinearProgramming,QuizLinearProgramming,,
37,RefineryOptimization,QuizSchedulingControl,,
38,NonlinearProgramming,QuizNonlinearProgramming,,
39,,QuizMachineLearning,,
40,ModelPredictiveControl,QuizModelPredictiveControl,,
